,worker_id,first_name,middle_name,sur_name,phone_number,home_address,have_car,role,skills,certificates,availability,rating
0,84YQTWEQ,José,Andres,Vázquez,4373684423,"82 Fort York Blvd, Toronto, ON M5V 4A6, Canada",Yes,Cleaner,"Forklift,Boomlift","WHMIS,Working at Heights,4 Steps",22:00-06:00,4.2
1,GWKX40ZX,José,Estiven,Vázquez,4379618537,"313 Bremner Blvd, Toronto, ON M5V 3V3, Canada",Yes,Painter,"Boomlift,Scissors Lift,Forklift","WHMIS,Working at Heights",22:00-06:00,3.3
2,A1JXUC2N,Antonio,Jose,Rodríguez,4375107424,"80 York Blvd , North York, ON M3J 1P3, Canada",No,Labour,"Scissors Lift,Boomlift","WHMIS,Working at Heights",14:00-22:00,4.5
3,PR56G50N,Carlos,Miguel,Hernández,4378848195,"75 Queens Wharf Rd, Toronto, ON M5V 0J8, Canada",Yes,Labour,"Forklift,Boomlift","Working at Heights,4 Steps",14:00-22:00,3.6
4,YZ8TE5XE,Manuel,Mauricio,Hernández,4378227422,"15 York Street Corner of York and, Bremner Blvd, Toronto, ON M5J 0A3, Canada",No,Cleaner,"Scissors Lift,Boomlift,Forklift",4 Steps,22:00-06:00,3.6
5,L1XPV3E2,Pedro,Mauricio,Rodríguez,4379769914,"59 Green Mountain Rd E, Stoney Creek, ON L8J 2V5, Canada",No,Cleaner,Forklift,"4 Steps,Working at Heights,WHMIS",7:00-15:30,4
6,7KRZ14ZC,Antonio,Estiven,González,4378721361,"Avenue Rd, Richmond Hill, ON, Canada",No,Labour,"Boomlift,Forklift","4 Steps,WHMIS,Working at Heights",14:00-22:00,3.1
7,GV5R6B9G,Alejandro,Miguel,Pérez,4379701218,"35 Walmer Rd, Toronto, ON M5R 2X3, Canada",Yes,Labour,Scissors Lift,"Working at Heights,WHMIS,4 Steps",14:00-22:00,3.5
8,NL8U1EDD,Manuel,Jose,Gómez,4377119272,"25 Lower Simcoe St, Toronto, ON M5J 0C8, Canada",No,Painter,"Boomlift,Forklift",WHMIS,14:00-22:00,4.6
9,AEORZOJO,Manuel,Andres,Martínez,4375052863,"113 Fort York Blvd, Toronto, ON M5V 0K2, Canada",No,Labour,"Scissors Lift,Forklift,Boomlift","Working at Heights,4 Steps",7:00-15:30,4.3
10,47MTH6MB,Manuel,Felipe,González,4379084071,"25 Overlea Blvd, Toronto, ON M4H 1P9, Canada",Yes,Painter,"Forklift,Scissors Lift",4 Steps,7:00-15:30,3.6
11,43XWM041,José,Estiven,Ebratt,4378867613,"279 Dovercourt Rd, Toronto, ON M6J 3C9, Canada",Yes,Cleaner,"Forklift,Boomlift,Scissors Lift",4 Steps,22:00-06:00,4.4
12,SDOB8DYV,Luis,Jose,López,4376740029,"100 Princes' Blvd, Toronto, ON M6K 3C3, Canada",No,Painter,"Forklift,Boomlift","WHMIS,Working at Heights,4 Steps",14:00-22:00,3.5
13,S6BPCR2O,Pedro,Jose,López,4373903459,"Bay St., Toronto, ON, Canada",No,Labour,"Forklift,Boomlift,Scissors Lift","Working at Heights,4 Steps,WHMIS",7:00-15:30,3.9
14,6OQJ00Z5,Juan,Felipe,López,4377428721,"893 Mt Albert Rd, Sharon, ON L9N 0X6, Canada",No,Labour,Forklift,Working at Heights,22:00-06:00,3.1
15,6O93XEG4,Juan,Andres,Vázquez,4374890533,"398 Avenue Rd, Toronto, ON M4V 2H4, Canada",Yes,Painter,"Boomlift,Scissors Lift,Forklift","WHMIS,4 Steps",22:00-06:00,4.9
16,8HY5FIOH,Manuel,Estiven,Martínez,4376917932,"10 Spadina Rd, Toronto, ON M5R 2S7, Canada",No,Painter,"Forklift,Scissors Lift","WHMIS,4 Steps",22:00-06:00,3.3
17,1ZJV9HJX,Juan,Jose,López,4374194473,"102 Crockford Blvd Unit#4E, Toronto, ON M1R 3C3, Canada",Yes,Cleaner,"Forklift,Scissors Lift,Boomlift","4 Steps,Working at Heights,WHMIS",14:00-22:00,4.2
18,4IAGKQH5,Juan,Estiven,Martínez,4375277093,"131 Bremner Blvd, Toronto, ON M5J 3A7, Canada",No,Painter,"Scissors Lift,Boomlift,Forklift","4 Steps,Working at Heights,WHMIS",14:00-22:00,3.4
19,QZ3JXSP8,Diego,Hernando,Gómez,4379378859,"Ontario Pl Blvd, Toronto, ON M5V, Canada",Yes,Painter,"Forklift,Scissors Lift,Boomlift",4 Steps,22:00-06:00,3.4
20,PSJS1T6F,Pedro,Miguel,Vázquez,4379687552,"363 Bremner Blvd, Toronto, ON M5V 3V4, Canada",No,Painter,"Boomlift,Scissors Lift,Forklift","Working at Heights,4 Steps",22:00-06:00,4.4
21,PHGG78N5,Carlos,Mauricio,Gómez,4377023814,"222 Bremner Blvd, Toronto, ON M5V 2T6, Canada",No,Painter,"Boomlift,Scissors Lift,Forklift","4 Steps,Working at Heights,WHMIS",14:00-22:00,3.5
22,S0MXWN7G,Alejandro,Jose,Gómez,4373982522,"8 Park Rd, Toronto, ON M4W 3S5, Canada",Yes,Painter,"Scissors Lift,Forklift",WHMIS,7:00-15:30,3.5
23,BCWWIL6G,José,Andres,López,4373595937,"2332 Ninth Line, Oakville, ON L6H 7G9, Canada",No,Cleaner,Scissors Lift,"Working at Heights,4 Steps,WHMIS",14:00-22:00,3.6
24,IR0XAZ9J,Alejandro,Miguel,Ebratt,4375372715,"15 Saskatchewan Rd, Toronto, ON M6K 3C3, Canada",Yes,Painter,"Boomlift,Scissors Lift,Forklift","Working at Heights,4 Steps,WHMIS",7:00-15:30,4.7
25,38EER3MC,Diego,Estiven,Ebratt,4375807374,"20 Polson St, Toronto, ON M5A 1A5, Canada",Yes,Labour,Forklift,"Working at Heights,WHMIS",14:00-22:00,4.5
26,WMBWFSPU,Antonio,Hernando,Vázquez,4375059791,"Stadium Road Park, 10 Stadium Rd, Toronto, ON M5V 3P4, Canada",No,Painter,"Scissors Lift,Forklift","Working at Heights,WHMIS,4 Steps",7:00-15:30,3.8
27,KFKY5HO4,José,Miguel,Gómez,4373751414,"400 Commissioners St, Toronto, ON M4M 3K2, Canada",Yes,Cleaner,"Forklift,Scissors Lift,Boomlift","Working at Heights,4 Steps,WHMIS",7:00-15:30,3.8
28,O7J07OLQ,Manuel,Felipe,López,4373592549,"255 Bremner Blvd, Toronto, ON M5V 3L9, Canada",Yes,Labour,"Forklift,Scissors Lift,Boomlift","WHMIS,Working at Heights",14:00-22:00,3.6
29,YV6K8W3Q,Manuel,Jose,López,4378731032,"88 Fort York Blvd, Toronto, ON M5V 4A7, Canada",Yes,Cleaner,Forklift,"WHMIS,Working at Heights,4 Steps",14:00-22:00,4.4
30,PZ2THFZ0,Carlos,Jose,Pérez,4377210489,"Beaconsfield Village, Toronto, ON, Canada",No,Painter,Forklift,"WHMIS,4 Steps",14:00-22:00,3.1
31,V9L0OF1L,Alejandro,Felipe,Rodríguez,4379656075,"11 Charlotte St, Toronto, ON M5V 0M6, Canada",Yes,Painter,"Boomlift,Scissors Lift,Forklift",Working at Heights,22:00-06:00,3.3
32,GEEOQRDC,Diego,Jose,Pérez,4375807904,"1035 Kingston Rd, Toronto, ON M4E 1T5, Canada",Yes,Painter,"Scissors Lift,Forklift,Boomlift","WHMIS,4 Steps",7:00-15:30,4.5
33,8FR8O91X,José,Estiven,González,4374891458,"3017 Kingston Rd, Toronto, ON M1M 1P1, Canada",Yes,Painter,Scissors Lift,WHMIS,14:00-22:00,4.3
34,ABKSF51Q,Antonio,Miguel,Vázquez,4378320785,"35 Shaft Rd, Toronto, ON M9W 4M3, Canada",No,Cleaner,Boomlift,"WHMIS,4 Steps,Working at Heights",14:00-22:00,3.2
35,M2MIH0I5,Carlos,Miguel,Vázquez,4375761146,"1491 Lake Shore Blvd W, Toronto, ON M6K 3C2, Canada",Yes,Cleaner,"Forklift,Boomlift",Working at Heights,22:00-06:00,3.1
36,02D851UA,Juan,Mauricio,Vázquez,4375923554,"220 Duncan Mill Rd #616, North York, ON M3B 2V1, Canada",No,Painter,"Boomlift,Scissors Lift,Forklift","Working at Heights,4 Steps",22:00-06:00,3.3
